,time,mode,t1,t2,t3,t4,nu1,nu2,kp,ki,kd,r1,r2,h1,h2
0,10,A,14.94,19.52,7.58,6.61,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11,A,14.94,19.52,7.58,6.61,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12,M,14.94,19.52,7.58,6.61,0.3,0.4,-,-,-,0.0,0.0,-,-
3,13,M,14.94,19.52,7.58,6.61,0.3,0.4,-,-,-,0.0,0.0,-,-
4,14,M,14.94,19.52,7.58,6.61,0.3,0.4,-,-,-,0.0,0.0,-,-
5,15,A,14.94,19.52,7.58,6.61,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16,A,14.94,19.52,7.58,6.61,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17,A,14.94,19.52,7.58,6.61,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,18,M,14.94,19.52,7.58,6.61,0.3,0.4,-,-,-,0.0,0.0,-,-
9,19,M,14.94,19.52,7.58,6.61,0.3,0.4,-,-,-,0.0,0.0,-,-
